data_criacao;id;linguagem;tweet;nome_usuario;localizacao_usuario
"Tue Nov 03 22:49:36 +0000 2020";1323759259499331586;"pt ";"RT @MarceloCecel34: INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️  @welling…            ";"Rei do Sul          ";"Arena do Gremio               "
"Tue Nov 03 22:49:02 +0000 2020";1323759118159695873;"pt ";"RT @MarceloCecel34: INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️  @welling…            ";"Pereirinha_Real     ";"                              "
"Tue Nov 03 22:48:12 +0000 2020";1323758907584663552;"pt ";"RT @MarceloCecel34: INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️  @welling…            ";"Denise              ";"Paraná                       "
"Tue Nov 03 22:47:38 +0000 2020";1323758764441350152;"pt ";"RT @MarceloCecel34: INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️  @welling…            ";"Denise              ";"Porto Alegre, Brazil          "
"Tue Nov 03 22:47:25 +0000 2020";1323758710104227840;"pt ";"INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️… https://t.co/NOHk0Czctz                  ";"Denise              ";"Porto Alegre, Brasil          "
"Tue Nov 03 22:46:55 +0000 2020";1323758582932905985;"pt ";"RT @radiowebpopular: Na etapa final, a goleira do #Grêmio, Raíssa defendeu um pênalti cobrado por Gabi Nunes, aos 33. O #Corinthians encara…                                                       ";"Leandro Leopoldo    ";"                              "
"Tue Nov 03 22:46:45 +0000 2020";1323758541333778433;"pt ";"RT @radiowebpopular: E foi eliminado da competição nacional. As gaúchas haviam perdido a partida de ida por 3 a 0. As #GuriasGremistas saír…                                                      ";"Leandro Leopoldo    ";"                              "
"Tue Nov 03 22:46:30 +0000 2020";1323758479698481152;"pt ";"RT @RolimSkyl: Defina o perfil, profissional do jornalista, que telefona para uma freira sobre o que ela acha da declaração do Renato. SURR…                                                        ";"Leandro Leopoldo    ";"Recife/PE                     "
"Tue Nov 03 22:46:24 +0000 2020";1323758456231333889;"pt ";"RT @radiowebpopular: 🇪🇪#Grêmio | No começo da noite dessa segunda-feira (2), o #Grêmio perdeu pelo placar de 2 a 1 para o #Corinthians, na…                                                  ";"Leandro Leopoldo    ";"                              "
"Tue Nov 03 22:42:33 +0000 2020";1323757485224853505;"pt ";"Na etapa final, a goleira do #Grêmio, Raíssa defendeu um pênalti cobrado por Gabi Nunes, aos 33. O #Corinthians enc… https://t.co/mwA1JHWZb1                                                       ";"Rádio Web Popular  ";"Porto Alegre, Brasil          "
"Tue Nov 03 22:42:31 +0000 2020";1323757479113723904;"pt ";"E foi eliminado da competição nacional. As gaúchas haviam perdido a partida de ida por 3 a 0. As #GuriasGremistas s… https://t.co/M7hfBQt0Kf                                                       ";"Rádio Web Popular  ";"Porto Alegre, Brasil          "
"Tue Nov 03 22:42:31 +0000 2020";1323757476978872322;"pt ";"🇪🇪#Grêmio | No começo da noite dessa segunda-feira (2), o #Grêmio perdeu pelo placar de 2 a 1 para o #Corinthians,… https://t.co/ulcUl8FE4e                                                  ";"Rádio Web Popular  ";"Porto Alegre, Brasil          "
"Tue Nov 03 22:42:11 +0000 2020";1323757392866299905;"pt ";"Quem foi o craque do #Gremio no 1° turno?    Pepê?  Alisson?  Orejuela?  Ou David Braz?                                                                                                               ";"Rádio Web Popular  ";"São Paulo                    "
"Tue Nov 03 22:39:33 +0000 2020";1323756731369951232;"pt ";"RT @radiopachola: NOVO MANTO?    #Grêmio prepara novo uniforme para o seu futebol 7, com a contratação de Falcão. Segundo informação dos jorn…                                                  ";"_Müeller🇪🇪   ";"Cristal, Brasil               "
"Tue Nov 03 22:39:03 +0000 2020";1323756605255593986;"pt ";"NOVO MANTO?    #Grêmio prepara novo uniforme para o seu futebol 7, com a contratação de Falcão. Segundo informação do… https://t.co/v3v9Q8G6R5                                                  ";"Rádio Pachola      ";"Porto Alegre, Brasil          "
"Tue Nov 03 22:41:32 +0000 2020";1323757228948561920;"in ";"RT @VIVAbola: Hasil Liga Champions: Madrid Menang, Liverpool Pesta Gol https://t.co/EhXt6JCWXH #bola                                                                                                    ";"VIVAcoid            ";"Jakarta, Indonesia            "
"Tue Nov 03 22:41:18 +0000 2020";1323757172598034432;"fi ";"Man City Taklukkan Olympiakos 3-0 #TauCepatTanpaBatas #Bola #SepakBola #LigaChampion #ChampionsLeague . https://t.co/96t3XcPzGa                                                                         ";"Okezone             ";"Jakarta                       "
"Tue Nov 03 22:41:02 +0000 2020";1323757102712541184;"in ";"Hasil Liga Champions: Madrid Menang, Liverpool Pesta Gol https://t.co/EhXt6JCWXH #bola                                                                                                                  ";"VIVAbola            ";"Jakarta                       "
"Tue Nov 03 22:40:37 +0000 2020";1323757000275079168;"in ";"RT @VIVAbola: Sangar, Liverpool Bikin Markas Atalanta Porak Poranda https://t.co/7JYON8zdjz #bola                                                                                                       ";"M. Abdillah         ";"                              "
"Tue Nov 03 22:39:19 +0000 2020";1323756673220055040;"in ";"RT @VIVAbola: Seru, Real Madrid Susah Payah Kalah Inter Milan https://t.co/no3OTRIAp7 #bola                                                                                                             ";"M. Abdillah         ";"                              "
"Tue Nov 03 22:36:08 +0000 2020";1323755869079678976;"de ";"LINK &gt,&gt, https://t.co/lJuNTwxINf  Liga Champions  RB Leipzig vs PSG  Kamis, 5 November 2020  03:00 wib    #bgibola #nobar… https://t.co/hu2uLmnFGl                                               ";"BGiBOLA             ";"Indonesia                     "
"Tue Nov 03 22:35:53 +0000 2020";1323755808698507264;"in ";"jual Stiker Kulkas 1 Pintu MANCHESTER UNITED - https://t.co/6vQ4GgrmFU #GGMU #bola #PSSleman #pssday #PersijaDay #Persib #Bobotoh #PersibDay                                                            ";"Grosir Stiker Murah ";"                              "
"Tue Nov 03 22:35:34 +0000 2020";1323755726888525824;"in ";"LINK &gt,&gt, https://t.co/aen4oN6lr1  Liga Champions  Ferencvarosi vs Juventus  Kamis, 5 November 2020  03:00 wib    #bgibola… https://t.co/YtHYZs4CyQ                                               ";"BGiBOLA             ";"Indonesia                     "
"Tue Nov 03 22:34:51 +0000 2020";1323755547955396608;"et ";"LINK &gt,&gt, https://t.co/OHxdYmgY5J  Liga Champions  Chelsea vs Rennes  Kamis, 5 November 2020  03:00 wib    #bgibola #nobar… https://t.co/gpYAieAOSQ                                               ";"BGiBOLA             ";"Indonesia                     "
"Tue Nov 03 22:34:44 +0000 2020";1323755520604413952;"in ";"#BHSukan Rangkuman keputusan perlawanan Liga Juara-Juara.    #Bola    https://t.co/KCHzcCwN35                                                                                                           ";"Berita Harian       ";"Malaysia                      "
"Tue Nov 03 22:34:22 +0000 2020";1323755426517671936;"in ";"LINK &gt,&gt, https://t.co/b4EuCu7UqU  Liga Champions  Barcelona vs Dinamo Kiev  Kamis, 5 November 2020  03:00 wib    #bgibola… https://t.co/Henp8aWql6                                               ";"BGiBOLA             ";"Indonesia                     "
"Tue Nov 03 22:33:35 +0000 2020";1323755227531501568;"in ";"LINK &gt,&gt, https://t.co/oBz3whbAd0  Liga Champions  Istanbul BB vs Manchester United  Kamis, 5 November 2020  00:55 wib… https://t.co/kJrochMPs2                                                   ";"BGiBOLA             ";"Indonesia                     "
"Tue Nov 03 22:32:52 +0000 2020";1323755049953107969;"in ";"Gratisan , HD, Tanpa Pakai Vpn, Tanpa Password Lancar Bisa Nonton Liga Champions di BGiBOLA  LINK &gt,&gt,… https://t.co/fTkXmU1eVY                                                                   ";"BGiBOLA             ";"Indonesia                     "
"Tue Nov 03 22:31:46 +0000 2020";1323754771728097280;"in ";"#promo #situsjudionline #terbaik #teraman   #cscantik #sexygay #pelayanan24jam #registernow  #bonus #casino #togel… https://t.co/P7rDvfx88U                                                           ";"IstanaGoal          ";"                              "
"Tue Nov 03 22:31:32 +0000 2020";1323754714475847680;"in ";"#promo #situsjudionline #terbaik #teraman   #cscantik #sexygay #pelayanan24jam #registernow  #bonus #casino #togel… https://t.co/LNfKEwAf1g                                                           ";"IstanaGoal          ";"                              "
"Tue Nov 03 22:48:06 +0000 2020";1323758883849031682;"pt ";"Até o momento da publicação deste tweet, dos 20 clubes da Série A do Brasileirão, 4 não postaram nada sobre o tema… https://t.co/VPyZflpicI                                                     ";"Almeno Campos       ";"Rio de Janeiro, Brasil        "
"Tue Nov 03 22:42:37 +0000 2020";1323757500739604481;"pt ";"AO VIVO: acompanhe as emoções do jogo entre Brasil de Pelotas e Sampaio Corrêa https://t.co/VcIZ5JdasX… https://t.co/3BYEHKziJa                                                                    ";"Imirante.com        ";"Maranhão, Brasil             "
"Tue Nov 03 22:40:46 +0000 2020";1323757038351097858;"pt ";"Aumente o tamanho do seu meninão, dure mais na cama e acabe com a ejaculação precoce.    #safados #safadeza #safari… https://t.co/E3hOCHSMpF                                                       ";"Dançando Funk      ";"                              "
"Tue Nov 03 22:35:36 +0000 2020";1323755737995190273;"pt ";"Venha conferir o que rolou nas rodadas das Serie A, B, C e D do nosso futebol e uma pitada sobre o GP da Emilia Rom… https://t.co/sqO5H73Jpt                                                          ";"Estante do Esporte  ";"                              "
"Tue Nov 03 22:34:43 +0000 2020";1323755513499308032;"pt ";"RT @willianesporte: Qd digo que surge um novo Vila Nova FC em 2020 ñ é apenas otimismo e idealismo e sim uma gestão profissional em todos s…                                                       ";"Estante do Esporte  ";"Goiânia, Brasil              "
"Tue Nov 03 22:33:35 +0000 2020";1323755228215320579;"pt ";"Rodada 7 da Serie B Italiana está por vir, segue alguns dados estatísticos da competição até o momento!    #futebol… https://t.co/vnuoXxinzS                                                     ";"RN Sports           ";"                              "
"Tue Nov 03 22:32:51 +0000 2020";1323755046299967488;"pt ";"FC Porto vence Marselha e isola-se no segundo lugar do Grupo C da Liga dos https://t.co/kFnUbQRY4v #FCPorto #Futebol #LigaDosCampeões                                                                  ";"O MINHO             ";"Minho                         "
"Tue Nov 03 22:31:40 +0000 2020";1323754748697210880;"pt ";"Antony fez seu primeiro gol pela Champions League. Grande vitória do Ajax! E essa camisa preta com dourado, pelo am… https://t.co/RNHcO4rDEm                                                         ";"O MINHO             ";"Volta Redonda, Brasil         "
"Tue Nov 03 22:24:07 +0000 2020";1323752845116624903;"pt ";"Novo vídeo no canal: CUIABÁ X BOTAFOGO | DISPUTA DE PÊNALTIS | OITAVAS DE FINAL COPA DO BRASIL 20/21 [PES 2021]… https://t.co/I0kpWeiyeq                                                           ";"Torcida Gamers      ";"                              "
"Tue Nov 03 22:22:53 +0000 2020";1323752536503947265;"fr ";"#RealMadrid vs #InterMilan | #UCL 2020-21 #ChampionsLeague | Predictions #FIFA21 #HalaMadrid #Inter #NotForEveryone… https://t.co/Z4HaEAFsbe                                                          ";"Torcida Gamers      ";"United Kingdom                "
"Tue Nov 03 22:22:53 +0000 2020";1323752534809448463;"fr ";"#ManchesterCity vs #OlympiakosFC | #UCL 2020-21 #ChampionsLeague | Predictions #FIFA21 #Manchester #City #Mancity… https://t.co/DG589u3oWm                                                            ";"Torcida Gamers      ";"United Kingdom                "
"Tue Nov 03 22:22:52 +0000 2020";1323752532494176258;"fr ";"#FCPorto vs #OlympiquedeMarseille | #UCL 2020-21 #ChampionsLeague | Predictions #FIFA21 #Porto #FCP #Olympique… https://t.co/3kSUXzEH7U                                                               ";"Torcida Gamers      ";"United Kingdom                "
"Tue Nov 03 22:22:52 +0000 2020";1323752530774544385;"fr ";"#FCMidtjylland vs #AFCAjax | #UCL 2020-21 #ChampionsLeague | Predictions #FIFA21 #Midtjylland #FCMidtjylland #FCM… https://t.co/4OqhYxUnEK                                                            ";"Torcida Gamers      ";"United Kingdom                "
"Tue Nov 03 22:22:51 +0000 2020";1323752527603654656;"fr ";"#AtalantaBC vs #Liverpool | #UCL 2020-21 #ChampionsLeague | Predictions #FIFA21 #Atalanta #GoAtalantaGo… https://t.co/irR1f2XToe                                                                      ";"Torcida Gamers      ";"United Kingdom                "
"Tue Nov 03 23:23:56 +0000 2020";1323767899819921409;"en ";"@MrNiceGuy18_58 Iron Man 3 is so forgettable                                                                                                                                                            ";;"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899702628353;"es ";"@ELTIEMPO @JEP_Colombia 3 añosssss. Y no han hecho ni mierda. Que tristza                                                                                                                              ";"jcantor             ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899639713801;"pt ";"[3/11 18:25]ana🥰:vem mimi comigo amor 🥺  [3/11 18:26]amor🥰:Vou pensar no seu caso  [3/11 18:26]ana🥰:não  [3/11 18:26]a… https://t.co/gffteifhV8                                          ";"jcantor             ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899438358528;"pt ";"@omalestafeito @carmoafonso 3. O meu é duplo e sem gelo.  Mais um mandato de Trump vai ser muito difícil.                                                                                             ";"soundpeaks          ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899169812480;"th ";"@omalestafeito @carmoafonso 3. O meu é duplo e sem gelo.  Mais um mandato de Trump vai ser muito difícil.                                                                                             ";"soundpeaks          ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899022974976;"en ";"I’ve been nauseas for the past 3 days.                                                                                                                                                                ";"Jessica             ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898947670016;"en ";"RT @kromerpics: A few shots from this morning, while hanging out with nature at Merrill Creek and the Bushkill Creek. (PART1)  11/3/20 https…                                                         ";"Jeff Troyer         ";"Indianapolis, IN              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898834436099;"tr ";"RT @Hakanah20598266: Merhaba. Biz Mansuroğlu mahallesinde oturan bir çiftiz. Ben Sağlık çalışanıyım. Evimiz ağır hasarlı, yıkım kararı veri…                                           ";"Selda               ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898817658880;"pt ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"p.                  ";"stars hollow                  "
"Tue Nov 03 23:23:56 +0000 2020";1323767898515542017;"th ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"p.                  ";"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767898255417345;"ja ";"@jubaudelaire COMO ASSIM EU NÃO FIQUEI NEM NO TOP 3                                                                                                                                                    ";"ルイアーム     ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767898167533570;"tr ";"@CicekMakarac 3 tğüş34ğütğ 12i4ğş1""3                                                                                                                                                            ";"Şeyda bal          ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767898008158210;"ru ";"@CicekMakarac 3 tğüş34ğütğ 12i4ğş1""3                                                                                                                                                            ";"Şeyda bal          ";"Сеул                      "
"Tue Nov 03 23:23:55 +0000 2020";1323767897932574723;"es ";"Sebastián amigo Enrique París amigo  Allende.  3 Cerca deNiños  Mapocho Navegable   Pizza   Pediatra  Leche    Choros Teil… https://t.co/yy8kVgYl8L                                                ";"Sandra Sirhan       ";"                              "
"Tue Nov 03 23:23:55 +0000 2020";1323767897794224130;"en ";"RT @giornocore: i made the shey/they sapphic edit for @vivithecowboy !!! i hope u like it :3 https://t.co/htFF1axyLs                                                                                    ";"lar                 ";"READ CARRD BYF!!!             "
"Tue Nov 03 23:23:56 +0000 2020";1323767899819921409;"en ";"@MrNiceGuy18_58 Iron Man 3 is so forgettable                                                                                                                                                            ";;"                              "
"Tue Nov 03 23:23:56 +0000 2020";1323767899702628353;"es ";"@ELTIEMPO @JEP_Colombia 3 añosssss. Y no han hecho ni mierda. Que tristza                                                                                                                              ";"jcantor             ";"                              "
